1	A	2022-11-20T19:00+03:00	QAT	ECU
3	B	2022-11-21T16:00+03:00	ENG	IRN
2	A	2022-11-21T19:00+03:00	SEN	NED
4	B	2022-11-21T22:00+03:00	USA	WAL
5	C	2022-11-22T13:00+03:00	ARG	KSA
6	D	2022-11-22T16:00+03:00	DEN	TUN
7	C	2022-11-22T19:00+03:00	MEX	POL
8	D	2022-11-22T22:00+03:00	FRA	AUS
9	F	2022-11-23T13:00+03:00	MAR	CRO
10	E	2022-11-23T16:00+03:00	DEU	JPN
11	F	2022-11-23T19:00+03:00	ESP	CRC
12	E	2022-11-23T22:00+03:00	BEL	CAN
13	G	2022-11-24T13:00+03:00	SUI	CMR
14	H	2022-11-24T16:00+03:00	URY	KOR
15	H	2022-11-24T19:00+03:00	POR	GHA
16	G	2022-11-24T22:00+03:00	BRA	SRB
17	B	2022-11-25T13:00+03:00	WAL	IRN
18	A	2022-11-25T16:00+03:00	QAT	SEN
19	A	2022-11-25T19:00+03:00	NED	ECU
20	B	2022-11-25T22:00+03:00	ENG	USA
21	D	2022-11-26T13:00+03:00	TUN	AUS
22	C	2022-11-26T16:00+03:00	POL	KSA
23	D	2022-11-26T19:00+03:00	FRA	DEN
24	C	2022-11-26T22:00+03:00	ARG	MEX
25	E	2022-11-27T13:00+03:00	JPN	CRC
26	F	2022-11-27T16:00+03:00	BEL	MAR
27	F	2022-11-27T19:00+03:00	CRO	CAN
28	E	2022-11-27T22:00+03:00	ESP	DEU
29	G	2022-11-28T13:00+03:00	CMR	SRB
30	H	2022-11-28T16:00+03:00	KOR	GHA
31	G	2022-11-28T19:00+03:00	BRA	SUI
32	H	2022-11-28T22:00+03:00	POR	URY
33	A	2022-11-29T18:00+03:00	ECU	SEN
34	A	2022-11-29T18:00+03:00	NED	QAT
35	B	2022-11-29T22:00+03:00	WAL	ENG
36	B	2022-11-29T22:00+03:00	IRN	USA
37	D	2022-11-30T18:00+03:00	AUS	DEN
38	D	2022-11-30T18:00+03:00	TUN	FRA
39	C	2022-11-30T22:00+03:00	POL	ARG
40	C	2022-11-30T22:00+03:00	KSA	MEX
41	F	2022-12-01T18:00+03:00	CRO	BEL
42	F	2022-12-01T18:00+03:00	CAN	MAR
43	E	2022-12-01T22:00+03:00	JPN	ESP
44	E	2022-12-01T22:00+03:00	CRC	DEU
45	H	2022-12-02T18:00+03:00	GHA	URY
46	H	2022-12-02T18:00+03:00	KOR	POR
47	G	2022-12-02T22:00+03:00	SRB	SUI
48	G	2022-12-02T22:00+03:00	CMR	BRA
49	16	2022-12-03T18:00+03:00	1A	2B
50	16	2022-12-03T22:00+03:00	1C	2D
52	16	2022-12-04T18:00+03:00	1D	2C
51	16	2022-12-04T22:00+03:00	1B	2A
53	16	2022-12-05T18:00+03:00	1E	2F
54	16	2022-12-05T22:00+03:00	1G	2H
55	16	2022-12-06T18:00+03:00	1F	2E
56	16	2022-12-06T22:00+03:00	1H	2G
58	QF	2022-12-09T18:00+03:00	W53	W54
57	QF	2022-12-09T22:00+03:00	W49	W50
60	QF	2022-12-10T18:00+03:00	W55	W56
59	QF	2022-12-10T22:00+03:00	W51	W52
61	SF	2022-12-13T22:00+03:00	W57	W58
62	SF	2022-12-14T22:00+03:00	W59	W60
63	3P	2022-12-17T22:00+03:00	L61	L62
64	GF	2022-12-18T22:00+03:00	W61	W62
